NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,엘리멘탈,피터 손,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230614,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
2,미션 임파서블: 데드 레코닝 PART ONE,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20230712,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
3,밀수,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),20230726,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
4,범죄도시3,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",20230531,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
5,인디아나 존스: 운명의 다이얼,제임스 맨골드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230628,개봉영화,장편,미국,,,,,,어드벤처,12세이상관람가,일반영화
6,명탐정코난: 흑철의 어영,타치카와 유즈루,,(주)씨제이이엔엠,(주)씨제이이엔엠,20230720,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,일반영화
7,바비,그레타 거윅,,워너브러더스 코리아(주),워너브러더스 코리아(주),20230719,개봉영화,장편,미국,780,,,,,기타,12세이상관람가,일반영화
8,스파이더맨: 어크로스 더 유니버스,호아킴 도스 산토스,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230621,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
9,인시디어스: 빨간 문,패트릭 윌슨,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230719,개봉영화,장편,미국,758,,,,,공포(호러),15세이상관람가,일반영화
10,귀공자,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴",,(주)넥스트엔터테인먼트월드(NEW),20230621,개봉영화,장편,한국,966,,,,,액션,청소년관람불가,일반영화
11,극장판 슈퍼윙스: 맥시멈 스피드,정길훈,(주)퍼니플럭스,,(주)넥스트엔터테인먼트월드(NEW),20230720,개봉영화,장편,한국,407,,,,,애니메이션,전체관람가,일반영화
12,극장판 도라에몽: 진구와 하늘의 유토피아,,,대원미디어(주),씨제이 씨지브이(CJ CGV)(주),20230708,개봉영화,장편,일본,283,,,,,애니메이션,전체관람가,일반영화
13,악마들,김재훈,(주)콘텐츠지,,TCO(주)더콘텐츠온,20230705,개봉영화,장편,한국,613,,,,,액션,청소년관람불가,일반영화
14,보 이즈 어프레이드,아리 에스터,,(주)싸이더스,(주)스튜디오디에이치엘,20230705,개봉영화,장편,미국,312,,,,,어드벤처,청소년관람불가,독립/예술영화
15,애스터로이드 시티,웨스 앤더슨,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230628,개봉영화,장편,미국,269,,,,,드라마,12세이상관람가,일반영화
16,엔니오: 더 마에스트로,쥬세페 토르나토레,,(주)영화사 진진,"(주)영화사 진진,(주)씨네필운",20230705,개봉영화,장편,이탈리아,67,,,,,다큐멘터리,12세이상관람가,독립/예술영화
17,틴에이지 크라켄 루비,커크 드 미코,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230725,개봉영화,장편,미국,203,,,,,애니메이션,전체관람가,일반영화
18,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,변희선,더핑크퐁컴퍼니(주),,더핑크퐁컴퍼니(주),20230726,개봉영화,장편,한국,128,,,,,애니메이션,전체관람가,독립/예술영화
19,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,,,(주)씨제이이엔엠,(주)씨제이이엔엠,20230623,개봉영화,장편,일본,176,,,,,애니메이션,12세이상관람가,일반영화
20,"2022 영탁 단독 콘서트 ""탁쇼""",송승연,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),20230628,개봉영화,장편,한국,72,,,,,공연,전체관람가,일반영화
21,파이어하트,"시어도어 타이,로랑 제툰",,(주)누리픽쳐스,"(주)누리픽쳐스,(주)블루라벨픽쳐스,TCO(주)더콘텐츠온",20230628,개봉영화,장편,프랑스,187,,,,,애니메이션,전체관람가,독립/예술영화
22,슈퍼 키드 헤일리,라스무스 A. 실버르센,,찬란,(주)팝엔터테인먼트,20230720,개봉영화,장편,노르웨이,176,,,,,애니메이션,전체관람가,독립/예술영화
23,플래시,안드레스 무시에티,,워너브러더스 코리아(주),워너브러더스 코리아(주),20230614,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
24,빈틈없는 사이,이우철,(주)갤리온엔터테인먼트,,"(주)갤리온엔터테인먼트,영화로운 형제",20230705,개봉영화,장편,한국,291,,,,,멜로/로맨스,15세이상관람가,일반영화
25,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),20230104,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,일반영화
26,아버지의 마음,김상철,파이오니아21,,"(주)드림팩트엔터테인먼트,파이오니아21",20230720,개봉영화,장편,한국,85,,,,,다큐멘터리,전체관람가,일반영화
27,극장판 피노키오 위대한 모험,바실리 로벤스키,,(주)태양미디어그룹,"와이드 릴리즈(주),(주)태양미디어그룹",20230713,개봉영화,장편,헝가리,208,,,,,애니메이션,전체관람가,독립/예술영화
28,수라,황윤,"스튜디오두마,미디어나무(주)",,"스튜디오두마,미디어나무(주),스튜디오 에이드",20230621,개봉영화,장편,한국,136,,,,,다큐멘터리,전체관람가,독립/예술영화
29,좋.댓.구,박상민,(주)영화사 업,,"트윈플러스파트너스(주),(주)키다리스튜디오",20230712,개봉영화,장편,한국,146,,,,,코미디,15세이상관람가,독립/예술영화
30,하나님의 마음,,,주식회사 블루필름웍스,"주식회사 블루필름웍스,(주)버킷스튜디오",20230628,개봉영화,장편,미국,117,,,,,드라마,12세이상관람가,일반영화
31,비밀의 언덕,이지은,오스프링 필름,,(주)엣나인필름,20230712,개봉영화,장편,한국,56,,,,,기타,전체관람가,독립/예술영화
32,헌티드 맨션,저스틴 시미엔,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230726,개봉영화,장편,미국,187,,,,,공포(호러),12세이상관람가,일반영화
33,풍재기시,옹자광,,티미디어,(주)빅브라더스,20230705,개봉영화,장편,홍콩,174,,,,,범죄,15세이상관람가,일반영화
34,기적을 믿는 소녀,리처드 코렐,,주식회사 온 피크,홀리가든,20230705,개봉영화,장편,미국,76,,,,,드라마,전체관람가,일반영화
35,플래닛,드미트리 키셀레브,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,20230705,개봉영화,장편,러시아,135,,,,,SF,12세이상관람가,독립/예술영화
36,라방,최주연,영화사올(주),,(주)트리플픽쳐스,20230628,개봉영화,장편,한국,282,,,,,스릴러,청소년관람불가,독립/예술영화
37,극장판 아름다운 그: 이터널,사카이 마이,,(주)미디어캐슬,홀리가든,20230712,개봉영화,장편,일본,94,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
38,더 썬,플로리안 젤러,,그린나래미디어(주),(주)스튜디오디에이치엘,20230719,개봉영화,장편,영국,62,,,,,드라마,15세이상관람가,독립/예술영화
39,"1986 그 여름, 그리고 고등어통조림",,,(주)얼리버드픽쳐스,와이드 릴리즈(주),20230705,개봉영화,장편,일본,111,,,,,드라마,12세이상관람가,독립/예술영화
40,비닐하우스,이솔희,한국영화아카데미,,(주)트리플픽쳐스,20230726,개봉영화,장편,한국,78,,,,,범죄,15세이상관람가,독립/예술영화
41,트랜스포머: 비스트의 서막,스티븐 카플 주니어,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20230606,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
42,스즈메의 문단속,신카이 마코토,,(주)미디어캐슬,(주)쇼박스,20230308,개봉영화,장편,일본,,,,,,애니메이션,12세이상관람가,독립/예술영화
43,어디로 가고 싶으신가요,김희정,(주)인벤트스톤,,(주)디스테이션,20230705,개봉영화,장편,한국,89,,,,,드라마,12세이상관람가,독립/예술영화
44,치치핑핑의 쿵쿵따 탐험대,이광범,(주)에픽캔,,(주)에픽캔,20230410,개봉영화,장편,한국,4,,,,616,공연,전체관람가,일반영화
45,가디언즈 오브 갤럭시: Volume 3,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230503,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
46,샤이닝,스탠리 큐브릭,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),20230628,개봉영화,장편,미국,45,,,,,공포(호러),청소년관람불가,일반영화
47,남은 인생 10년,후지이 미치히토,,(주)엔케이컨텐츠,(주)디스테이션,20230524,개봉영화,장편,일본,203,,,,,멜로/로맨스,12세이상관람가,독립/예술영화
48,디어 마이 러브,클라우스 해로,,미디어소프트,(주)뮤제엔터테인먼트,20230712,개봉영화,장편,기타,23,,,,,멜로/로맨스,전체관람가,독립/예술영화
49,러브 라이프,후카다 코지,,M&M 인터내셔널,M&M 인터내셔널,20230719,개봉영화,장편,일본,30,,,,,드라마,12세이상관람가,독립/예술영화
50,그녀가 좋아하는 것은,쿠사노 쇼고,,(주)미디어캐슬,홀리가든,20230719,개봉영화,장편,일본,69,,,,,멜로/로맨스,15세이상관람가,독립/예술영화
51,보통의 카스미,,,(주)비싸이드 픽쳐스,(주)비싸이드 픽쳐스,20230719,개봉영화,장편,일본,24,,,,,드라마,12세이상관람가,독립/예술영화
52,말없는 소녀,,,주식회사 슈아픽처스,주식회사 슈아픽처스,20230531,개봉영화,장편,아일랜드,52,,,,,드라마,전체관람가,독립/예술영화
53,너의 눈을 들여다보면,미야케 쇼,,(주)디오시네마,(주)디오시네마,20230614,개봉영화,장편,프랑스,71,,,,,드라마,전체관람가,독립/예술영화
54,슬픔의 삼각형,루벤 외스틀룬드,,그린나래미디어(주),"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",20230517,개봉영화,장편,미국,294,,,,,코미디,15세이상관람가,독립/예술영화
55,작은정원,이마리오,아나레스,,(주)시네마달,20230712,개봉영화,장편,한국,20,,,,,다큐멘터리,전체관람가,독립/예술영화
56,문재인입니다,이창재,다이스필름(주),,유한회사 엠프로젝트,20230510,개봉영화,장편,한국,602,,,,30,다큐멘터리,12세이상관람가,독립/예술영화
57,드림,이병헌,"(주)옥토버시네마,(주)노브레이크필름",,플러스엠 엔터테인먼트,20230426,개봉영화,장편,한국,,,,,129,코미디,12세이상관람가,일반영화
58,몸값part.1,전우성,"주식회사 티빙,에스엘엘,클라이맥스 스튜디오(주)",,메가박스중앙(주),20230705,개봉영화,장편,한국,54,,,,728,스릴러,청소년관람불가,일반영화
59,메타모르포제의 툇마루,카리야마 슌스케,,,(주)미디어캐슬,20230726,개봉영화,장편,일본,39,,,,820,기타,12세이상관람가,독립/예술영화
60,리바운드,장항준,"(주)비에이엔터테인먼트,워크하우스컴퍼니(주)",,(주)바른손이앤에이,20230405,개봉영화,장편,한국,,,,,510,드라마,12세이상관람가,일반영화
61,에고이스트,마츠나가 다이시,,(주)태양미디어그룹,"(주)디오시네마,(주)태양미디어그룹",20230726,개봉영화,장편,일본,23,,,,932,드라마,청소년관람불가,독립/예술영화
62,슬기로운 아내 수업,마르탱 프로보스트,,주식회사 오디언스,주식회사 오디언스,20230712,개봉영화,장편,프랑스,20,,,,930,코미디,12세이상관람가,독립/예술영화
63,탄생,박흥식,"민영화사,가톨릭문화원 ALMA ART",,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",20221130,개봉영화,장편,한국,670,,,,230,드라마,12세이상관람가,일반영화
64,몸값part.2,전우성,"주식회사 티빙,에스엘엘,클라이맥스 스튜디오(주),파라마운트 글로벌 컨텐츠 디스트리뷰션 그룹",,메가박스중앙(주),20230705,개봉영화,장편,한국,48,,,,555,스릴러,청소년관람불가,일반영화
65,영웅,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,20221221,개봉영화,장편,한국,,,,,148,드라마,12세이상관람가,일반영화
66,위대한 작은 농장,존 체스터,,(주)엣나인필름,(주)엣나인필름,20230614,개봉영화,장편,미국,31,,,,623,다큐멘터리,전체관람가,독립/예술영화
67,사랑하는 당신에게,델핀 르에리세,,(주)티캐스트,(주)티캐스트,20230531,개봉영화,장편,벨기에,28,,,,806,드라마,12세이상관람가,독립/예술영화
68,슈퍼 마리오 브라더스,,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230426,개봉영화,장편,미국,,,,0,0,애니메이션,전체관람가,일반영화
69,만해 한용운 님의침묵,한명구,주식회사 시네마서울,,시네마 뉴원,20230629,개봉영화,장편,한국,10,,918,,361,드라마,15세이상관람가,일반영화
