NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,잠,유재선,(주)루이스 픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,20230906,개봉영화,장편,한국,,,,,,미스터리,15세이상관람가,일반영화
2,천박사 퇴마 연구소: 설경의 비밀,김성식,"(주)외유내강,주식회사 세미콜론스튜디오,씨제이이엔엠 스튜디오스 주식회사",,(주)씨제이이엔엠,20230927,개봉영화,장편,한국,,,,,,판타지,12세이상관람가,일반영화
3,오펜하이머,크리스토퍼 놀란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20230815,개봉영화,장편,미국,,,,,,스릴러,15세이상관람가,일반영화
4,1947 보스톤,강제규,"(주)비에이엔터테인먼트,(주)빅픽쳐",,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",20230927,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
5,달짝지근해: 7510,이한,(주)무비락,,(주)마인드마크,20230815,개봉영화,장편,한국,884,,,,,코미디,12세이상관람가,일반영화
6,콘크리트 유토피아,엄태화,"클라이맥스 스튜디오(주),(주)비에이치 엔터테인먼트",,롯데컬처웍스(주)롯데엔터테인먼트,20230809,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
7,타겟,박희곤,(주)영화사피어나,,플러스엠 엔터테인먼트,20230830,개봉영화,장편,한국,986,,,,,스릴러,15세이상관람가,일반영화
8,베니스 유령 살인사건,케네스 브래너,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230913,개봉영화,장편,미국,876,,,,,범죄,12세이상관람가,일반영화
9,거미집,김지운,앤솔로지스튜디오(주),,(주)바른손이앤에이,20230927,개봉영화,장편,한국,,,,,,코미디,15세이상관람가,일반영화
10,엘리멘탈,피터 손,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20230614,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
11,더 넌 2,마이클 차베즈,,워너브러더스 코리아(주),워너브러더스 코리아(주),20230927,개봉영화,장편,미국,720,,,,,공포(호러),15세이상관람가,일반영화
12,가문의 영광: 리턴즈,"정태원,정용기",(주)태원엔터테인먼트,,(주)넥스트엔터테인먼트월드(NEW),20230921,개봉영화,장편,한국,823,,,,,코미디,15세이상관람가,일반영화
13,밀수,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),20230726,개봉영화,장편,한국,,,,,,액션,15세이상관람가,일반영화
14,그란 투리스모,,,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230920,개봉영화,장편,미국,883,,,,,액션,12세이상관람가,일반영화
15,"여름을 향한 터널, 이별의 출구",타구치 토모히사,,(주)미디어캐슬,(주)미디어캐슬,20230914,개봉영화,장편,일본,269,,,,,애니메이션,12세이상관람가,독립/예술영화
