영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
소울,월트디즈니컴퍼니코리아 유한책임회사,2021-01-01,2018,875001,애니메이션,전체관람가,9.32,4.7,8.5,2021,1
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021-01-01,380,206309,애니메이션,15세이상관람가,,4.9,6.0,2021,1
원더 우먼 1984,워너브러더스 코리아(주),2020-12-01,2260,155562,액션,12세이상관람가,7.54,2.6,5.5,2020,12
세자매,(주)리틀빅픽쳐스,2021-01-01,569,42290,드라마,15세이상관람가,8.95,,5.0,2021,1
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,2021-01-01,532,38131,애니메이션,12세이상관람가,8.02,,5.0,2021,1
조제,워너브러더스 코리아(주),2020-12-01,1179,23337,멜로/로맨스,15세이상관람가,8.2,,5.6,2020,12
아이 엠 우먼,(주)팝엔터테인먼트,2021-01-01,494,21913,드라마,15세이상관람가,9.43,4.4,6.0,2021,1
도굴,(주)씨제이이엔엠,2020-11-01,1635,21729,범죄,12세이상관람가,0.0,4.7,5.0,2020,11
뱅가드,(주)디스테이션,2020-12-01,265,21166,액션,12세이상관람가,3.41,3.8,3.67,2020,12
블라인드,주식회사 컨텐츠썬,2021-01-01,239,18297,드라마,15세이상관람가,9.35,4.5,5.67,2021,1
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021-01-01,432,16290,멜로/로맨스,12세이상관람가,8.52,,5.0,2021,1
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021-01-01,308,14682,애니메이션,전체관람가,9.0,3.3,6.0,2021,1
커넥트,(주)이수C&E,2021-01-01,386,14140,공포(호러),15세이상관람가,,4.0,5.0,2021,1
미스터 존스,(주)디오시네마,2021-01-01,277,10727,드라마,15세이상관람가,,4.5,5.5,2021,1
나는 나를 해고하지 않는다,(주)영화사 진진,2021-01-01,313,9660,드라마,12세이상관람가,8.17,,6.8,2021,1
북스마트,(주)콘텐츠판다,2021-01-01,163,9435,코미디,15세이상관람가,8.49,4.0,6.5,2021,1
완벽한 가족,(주)제이앤씨미디어그룹,2021-01-01,318,8659,드라마,15세이상관람가,7.26,,6.0,2021,1
나이팅게일,(주)제이앤씨미디어그룹,2020-12-01,329,8340,스릴러,청소년관람불가,8.71,4.3,6.0,2020,12
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,2021-01-01,155,7991,다큐멘터리,15세이상관람가,8.15,,,2021,1
마이 미씽 발렌타인,(주)트리플픽쳐스,2021-01-01,153,7796,멜로/로맨스,12세이상관람가,8.63,,6.0,2021,1
파힘,(주)디스테이션,2021-01-01,165,6547,드라마,전체관람가,8.16,,5.33,2021,1
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020-11-01,1363,6518,드라마,12세이상관람가,8.31,,5.0,2020,11
테넷,워너브러더스 코리아(주),2020-08-01,2228,6271,액션,12세이상관람가,8.73,,7.25,2020,8
걸,(주)리틀빅픽쳐스,2021-01-01,239,4853,드라마,15세이상관람가,,4.3,6.33,2021,1
런,(주)올스타엔터테인먼트,2020-11-01,799,4754,미스터리,15세이상관람가,8.53,4.1,6.5,2020,11
100% 울프: 푸들이 될 순 없어,(주)팝엔터테인먼트,2020-12-01,370,4732,애니메이션,전체관람가,8.52,3.9,6.0,2020,12
모추어리 컬렉션,(주)이놀미디어,2021-01-01,115,3767,판타지,청소년관람불가,6.36,4.1,6.25,2021,1
가을의 마티네,찬란,2020-12-01,19,3682,멜로/로맨스,12세이상관람가,8.9,,5.33,2020,12
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020-11-01,131,3623,애니메이션,전체관람가,9.53,4.9,6.5,2020,11
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021-01-01,98,3541,드라마,전체관람가,9.23,,6.0,2021,1
운디네,M&M 인터내셔널,2020-12-01,42,3222,드라마,12세이상관람가,8.38,4.1,8.0,2020,12
사일런싱,(주)홈초이스,2021-01-01,89,2873,공포(호러),15세이상관람가,,3.6,,2021,1
큰엄마의 미친봉고,(주)백그림,2021-01-01,67,2802,코미디,12세이상관람가,6.04,,6.0,2021,1
더 시크릿,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021-01-01,72,2796,스릴러,15세이상관람가,6.67,3.4,6.55,2021,1
래시 컴 홈,찬란,2021-01-01,13,2498,가족,전체관람가,7.66,,6.0,2021,1
관계의 가나다에 있는 우리는,(주)시네마달,2021-01-01,39,2380,드라마,전체관람가,8.38,,5.5,2021,1
미스터 보스,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2020-12-01,226,2313,드라마,15세이상관람가,6.5,,3.67,2020,12
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020-01-01,120,2253,드라마,15세이상관람가,9.15,4.8,9.5,2020,1
썸머 85,찬란,2020-12-01,126,2200,멜로/로맨스,15세이상관람가,8.59,,7.25,2020,12
제이티 르로이,(주)영화사 빅,2021-01-01,93,1977,드라마,15세이상관람가,8.17,,5.67,2021,1
라스트 프론티어,(주)까멜리아이엔티,2021-01-01,20,1840,전쟁,15세이상관람가,8.22,4.7,5.0,2021,1
리플레이,(주)다자인소프트,2020-12-01,242,1586,드라마,12세이상관람가,,,5.0,2020,12
언플랜드,(주)영화사오원,2020-12-01,281,1430,드라마,15세이상관람가,9.62,4.1,3.5,2020,12
"내 어깨 위 고양이, 밥 2",(주)영화특별시에스엠씨,2020-12-01,202,1347,가족,전체관람가,,4.4,,2020,12
크루아상,하준사,2021-01-01,42,1221,드라마,12세이상관람가,9.8,,3.5,2021,1
라이어트: 기계들의 역습,(주)노바이앤티,2020-12-01,52,1205,SF,15세이상관람가,3.71,,,2020,12
럭키 몬스터,(주)영화사 그램,2020-12-01,101,1135,드라마,청소년관람불가,7.92,,5.5,2020,12
누군가 어디에서 나를 기다리면 좋겠다,(주)영화사 진진,2020-12-01,54,1091,드라마,15세이상관람가,7.57,,5.0,2020,12
800,"TCO(주)더콘텐츠온,(주)디스테이션",2020-12-01,223,1076,전쟁,15세이상관람가,3.37,4.4,5.0,2020,12
족벌 두 신문 이야기,(주)엣나인필름,2021-01-01,10,1030,다큐멘터리,12세이상관람가,9.93,,5.5,2021,1
438일,(주)에스와이코마드,2021-01-01,40,1000,드라마,15세이상관람가,8.04,,,2021,1
마라가 큰 결정을 해야 해,(주)영화사오원,2021-01-01,79,856,멜로/로맨스,15세이상관람가,4.69,3.7,,2021,1
천사는 바이러스,주식회사 씨엠닉스,2021-01-01,44,816,드라마,15세이상관람가,8.76,,,2021,1
요요현상,영화배급협동조합 씨네소파,2021-01-01,27,804,다큐멘터리,전체관람가,9.33,,6.67,2021,1
나의 작은 동무,(주)라이크콘텐츠,2021-01-01,40,777,드라마,12세이상관람가,8.83,,6.33,2021,1
부활: 그 증거,(주)영화사 진진,2020-10-01,111,619,다큐멘터리,전체관람가,9.82,,4.0,2020,10
함께 있을 수 있다면,(주)영화사 진진,2020-12-01,30,612,멜로/로맨스,12세이상관람가,8.92,,5.67,2020,12
추억의 검정고무신,(주)대교 미디어콘텐츠사업본부,2020-11-01,215,582,애니메이션,전체관람가,5.87,,5.0,2020,11
귀여운 남자,(주)드림팩트엔터테인먼트,2021-01-01,41,546,코미디,15세이상관람가,5.38,,,2021,1
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020-10-01,149,526,애니메이션,15세이상관람가,9.5,4.8,,2020,10
스웨그,(주)영화사오원,2020-12-01,118,501,드라마,15세이상관람가,9.71,,4.0,2020,12
전쟁,(주)제이앤씨미디어그룹,2020-12-01,35,496,액션,15세이상관람가,,,7.67,2020,12
삼진그룹 영어토익반,롯데컬처웍스(주)롯데엔터테인먼트,2020-10-01,1615,484,드라마,12세이상관람가,9.01,,7.0,2020,10
골든맨,예지림엔터테인먼트,2021-01-01,25,441,범죄,15세이상관람가,6.29,,,2021,1
게임의 법칙: 인간사냥,(주)제이앤씨미디어그룹,2021-01-01,20,381,스릴러,청소년관람불가,3.61,,,2021,1
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,와이드 릴리즈(주),2020-11-01,187,370,애니메이션,전체관람가,9.0,,7.0,2020,11
레전더리 콘서트: 레너드 번스타인,(주)케빈앤컴퍼니,2021-01-01,12,366,공연,전체관람가,10.0,,,2021,1
뮤직 앤 리얼리티,"(주)미로스페이스,(주)스튜디오 보난자",2020-12-01,38,350,드라마,12세이상관람가,8.8,,5.0,2020,12
사라센의 칼,(주)콘텐츠윙,2021-01-01,14,348,드라마,15세이상관람가,9.07,,3.0,2021,1
토스카,일미디어,2020-12-01,4,325,공연,12세이상관람가,5.0,,10.0,2020,12
가나의 혼인잔치: 언약,"(재)CBS,주식회사 블루필름웍스",2020-11-01,116,323,다큐멘터리,전체관람가,9.54,,4.0,2020,11
피아니스트의 마지막 인터뷰,판씨네마(주),2020-11-01,55,321,드라마,전체관람가,9.03,4.4,5.5,2020,11
