NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,소울,피트 닥터,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210120,개봉영화,장편,미국,2018,7936332910,875001,2578880980,275009,애니메이션,전체관람가,일반영화
2,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),20210127,개봉영화,장편,일본,380,1820102670,206309,507360670,54677,애니메이션,15세이상관람가,일반영화
3,원더 우먼 1984,팻티 젠킨스,,워너브러더스 코리아(주),워너브러더스 코리아(주),20201223,개봉영화,장편,미국,2260,1445202000,155562,425776520,43999,액션,12세이상관람가,일반영화
4,세자매,이승원,(주)영화사 업,,(주)리틀빅픽쳐스,20210127,개봉영화,장편,한국,569,354451240,42290,110117100,12825,드라마,15세이상관람가,독립/예술영화
5,명탐정 코난: 진홍의 수학여행,야마모토 야스이치로,,(주)씨제이이엔엠,(주)씨제이이엔엠,20210127,개봉영화,장편,일본,532,316132440,38131,61262750,7166,애니메이션,12세이상관람가,일반영화
6,조제,김종관,볼미디어(주),,워너브러더스 코리아(주),20201210,개봉영화,장편,한국,1179,210969970,23337,51092400,5591,멜로/로맨스,15세이상관람가,일반영화
7,아이 엠 우먼,문은주,,"주식회사 풍경소리,(주)팝엔터테인먼트",(주)팝엔터테인먼트,20210114,개봉영화,장편,호주,494,177552770,21913,77537630,10395,드라마,15세이상관람가,독립/예술영화
8,도굴,박정배,(주)싸이런픽쳐스,,(주)씨제이이엔엠,20201104,개봉영화,장편,한국,1635,196004260,21729,40712360,4567,범죄,12세이상관람가,일반영화
9,뱅가드,당계례,,(주)엔케이컨텐츠,(주)디스테이션,20201230,개봉영화,장편,중국,265,186606800,21166,41649900,4757,액션,12세이상관람가,독립/예술영화
10,블라인드,타마르 반 덴 도프,,"주식회사 컨텐츠썬,와이드 릴리즈(주)",주식회사 컨텐츠썬,20210114,개봉영화,장편,네덜란드,239,158532100,18297,58848700,6742,드라마,15세이상관람가,일반영화
11,#아이엠히어,에릭 라티고,,(주)콘텐츠판다,(주)넥스트엔터테인먼트월드(NEW),20210114,개봉영화,장편,프랑스,432,135795710,16290,55923950,7437,멜로/로맨스,12세이상관람가,독립/예술영화
12,빅풋 주니어2: 패밀리가 떴다,"벤 스타센,제레미 드그루손",,(주)이수C&E,(주)이수C&E,20210106,개봉영화,장편,기타,308,121664630,14682,23235840,2601,애니메이션,전체관람가,일반영화
13,커넥트,제이콥 체이스,,(주)씨제이이엔엠,(주)이수C&E,20210120,개봉영화,장편,미국,386,125557510,14140,28726470,3117,공포(호러),15세이상관람가,독립/예술영화
14,미스터 존스,아그네츠카 홀란드,,(주)제이브로,(주)디오시네마,20210107,개봉영화,장편,폴란드,277,94595400,10727,39914810,4423,드라마,15세이상관람가,독립/예술영화
15,나는 나를 해고하지 않는다,이태겸,"(주)홍시쥔,아트 윙",,(주)영화사 진진,20210128,개봉영화,장편,한국,313,76303260,9660,35748040,4539,드라마,12세이상관람가,독립/예술영화
16,북스마트,올리비아 와일드,,(주)콘텐츠판다,(주)콘텐츠판다,20210127,개봉영화,장편,미국,163,58561900,9435,29102900,5756,코미디,15세이상관람가,독립/예술영화
17,완벽한 가족,로저 미첼,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20210106,개봉영화,장편,미국,318,75268460,8659,25792630,2828,드라마,15세이상관람가,독립/예술영화
18,나이팅게일,제니퍼 켄트,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20201230,개봉영화,장편,호주,329,72337140,8340,22781400,2629,스릴러,청소년관람불가,독립/예술영화
19,토이 솔져스: 가짜사나이2 더 컴플리트,오윤동,씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,20210127,개봉영화,장편,한국,155,75326300,7991,20692500,2126,다큐멘터리,15세이상관람가,일반영화
20,마이 미씽 발렌타인,진옥훈,,주식회사 디에스이이디,(주)트리플픽쳐스,20210114,개봉영화,장편,기타,153,59948070,7796,25595930,3370,멜로/로맨스,12세이상관람가,독립/예술영화
21,파힘,피에르 프랑소와 마틴 라발,,그린나래미디어(주),(주)디스테이션,20210121,개봉영화,장편,프랑스,165,50366700,6547,20200600,2528,드라마,전체관람가,독립/예술영화
22,이웃사촌,이환경,"(주)시네마허브,환타지엔터테인먼트",,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",20201125,개봉영화,장편,한국,1363,59825790,6518,10170390,1124,드라마,12세이상관람가,일반영화
23,테넷,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),20200826,개봉영화,장편,미국,2228,62349320,6271,31222970,3155,액션,12세이상관람가,일반영화
24,걸,,,주식회사 더쿱,(주)리틀빅픽쳐스,20210107,개봉영화,장편,독일,239,44053510,4853,21646570,2248,드라마,15세이상관람가,독립/예술영화
25,런,아니쉬 차간티,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,20201120,개봉영화,장편,미국,799,42820770,4754,17844930,1998,미스터리,15세이상관람가,일반영화
26,100% 울프: 푸들이 될 순 없어,알렉스 스타더만,,찬란,(주)팝엔터테인먼트,20201224,개봉영화,장편,호주,370,35529400,4732,5307950,703,애니메이션,전체관람가,독립/예술영화
27,모추어리 컬렉션,,,(주)이놀미디어,(주)이놀미디어,20210121,개봉영화,장편,미국,115,32241800,3767,12162700,1425,판타지,청소년관람불가,독립/예술영화
28,가을의 마티네,니시타니 히로시,,찬란,찬란,20201231,개봉영화,장편,일본,19,24459260,3682,16742370,2415,멜로/로맨스,12세이상관람가,독립/예술영화
29,극장판 바이올렛 에버가든,이시다테 타이치,,미라지엔터테인먼트,(주)라이크콘텐츠,20201112,개봉영화,장편,일본,131,32255130,3623,12655350,1383,애니메이션,전체관람가,독립/예술영화
30,빛의 아버지: 파이널 판타지 XIV,"노구치 테루오,야마모토 키요시",,(주)엔케이컨텐츠,(주)디스테이션,20210114,개봉영화,장편,일본,98,33151200,3541,14469100,1543,드라마,전체관람가,독립/예술영화
31,운디네,크리스티안 펫졸드,,M&M 인터내셔널,M&M 인터내셔널,20201224,개봉영화,장편,독일,42,29106630,3222,20278160,2119,드라마,12세이상관람가,독립/예술영화
32,사일런싱,,,(주)홈초이스,(주)홈초이스,20210128,개봉영화,장편,미국,89,22311180,2873,9436340,1236,공포(호러),15세이상관람가,일반영화
33,큰엄마의 미친봉고,백승환,(주)백그림,,(주)백그림,20210121,개봉영화,장편,한국,67,19344740,2802,7430910,1096,코미디,12세이상관람가,일반영화
34,더 시크릿,유발 애들러,,(주)퍼스트런,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",20210121,개봉영화,장편,영국,72,19534860,2796,8617770,1273,스릴러,15세이상관람가,독립/예술영화
35,래시 컴 홈,올더디센 하노,,찬란,찬란,20210107,개봉영화,장편,독일,13,15022450,2498,8405300,1392,가족,전체관람가,독립/예술영화
36,관계의 가나다에 있는 우리는,이인의,굿인스토리,,(주)시네마달,20210128,개봉영화,장편,한국,39,17658070,2380,11724770,1499,드라마,전체관람가,독립/예술영화
37,미스터 보스,김형기,"(주)더 재미,대쉬 필름,강천산 픽쳐스",,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",20201230,개봉영화,장편,한국,226,19805040,2313,4411110,491,드라마,15세이상관람가,일반영화
38,타오르는 여인의 초상,셀린 시아마,,그린나래미디어(주),"그린나래미디어(주),(주)홈초이스",20200116,개봉영화,장편,프랑스,120,18988000,2253,10543500,1212,드라마,15세이상관람가,독립/예술영화
39,썸머 85,프랑수아 오종,,찬란,찬란,20201224,개봉영화,장편,기타,126,20002600,2200,11876260,1227,멜로/로맨스,15세이상관람가,독립/예술영화
40,제이티 르로이,,,(주)스톰픽쳐스코리아,(주)영화사 빅,20210121,개봉영화,장편,미국,93,16266700,1977,8115900,969,드라마,15세이상관람가,독립/예술영화
41,라스트 프론티어,,,주식회사 풍경소리,(주)까멜리아이엔티,20210114,개봉영화,장편,러시아,20,10824500,1840,8841900,1606,전쟁,15세이상관람가,독립/예술영화
42,리플레이,데이비드 하인즈,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,20201216,개봉영화,장편,미국,242,11587940,1586,6514350,761,드라마,12세이상관람가,독립/예술영화
43,언플랜드,"척 콘젤만,캐리 솔로몬",,(주)달빛공장,(주)영화사오원,20201217,개봉영화,장편,미국,281,10945490,1430,5687190,749,드라마,15세이상관람가,일반영화
44,"내 어깨 위 고양이, 밥 2",찰스 마틴 스미스,,(주)누리픽쳐스,(주)영화특별시에스엠씨,20201224,개봉영화,장편,영국,202,11756570,1347,5109830,560,가족,전체관람가,독립/예술영화
45,크루아상,조성규,"(주)와우,(주)와이제이글로벌그룹",,하준사,20210121,개봉영화,장편,한국,42,11463450,1221,7007310,736,드라마,12세이상관람가,독립/예술영화
46,라이어트: 기계들의 역습,,,하드릴컴퍼니,(주)노바이앤티,20201223,개봉영화,장편,미국,52,6025000,1205,5775000,1155,SF,15세이상관람가,일반영화
