영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018,875001.0,애니메이션,전체관람가,9.32,8.5
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380,206309.0,애니메이션,15세이상관람가,,6.0
원더 우먼 1984,워너브러더스 코리아(주),2020,12,2260,155562.0,액션,12세이상관람가,7.54,5.5
세자매,(주)리틀빅픽쳐스,2021,1,569,42290.0,드라마,15세이상관람가,8.95,5.0
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,2021,1,532,38131.0,애니메이션,12세이상관람가,8.02,5.0
조제,워너브러더스 코리아(주),2020,12,1179,23337.0,멜로/로맨스,15세이상관람가,8.2,5.6
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494,21913.0,드라마,15세이상관람가,9.43,6.0
도굴,(주)씨제이이엔엠,2020,11,1635,21729.0,범죄,12세이상관람가,0.0,5.0
뱅가드,(주)디스테이션,2020,12,265,21166.0,액션,12세이상관람가,3.41,3.67
블라인드,주식회사 컨텐츠썬,2021,1,239,18297.0,드라마,15세이상관람가,9.35,5.67
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021,1,432,16290.0,멜로/로맨스,12세이상관람가,8.52,5.0
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021,1,308,14682.0,애니메이션,전체관람가,9.0,6.0
커넥트,(주)이수C&E,2021,1,386,14140.0,공포(호러),15세이상관람가,,5.0
미스터 존스,(주)디오시네마,2021,1,277,10727.0,드라마,15세이상관람가,,5.5
나는 나를 해고하지 않는다,(주)영화사 진진,2021,1,313,9660.0,드라마,12세이상관람가,8.17,6.8
북스마트,(주)콘텐츠판다,2021,1,163,9435.0,코미디,15세이상관람가,8.49,6.5
완벽한 가족,(주)제이앤씨미디어그룹,2021,1,318,8659.0,드라마,15세이상관람가,7.26,6.0
나이팅게일,(주)제이앤씨미디어그룹,2020,12,329,8340.0,스릴러,청소년관람불가,8.71,6.0
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,2021,1,155,7991.0,다큐멘터리,15세이상관람가,8.15,
마이 미씽 발렌타인,(주)트리플픽쳐스,2021,1,153,7796.0,멜로/로맨스,12세이상관람가,8.63,6.0
파힘,(주)디스테이션,2021,1,165,6547.0,드라마,전체관람가,8.16,5.33
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020,11,1363,6518.0,드라마,12세이상관람가,8.31,5.0
테넷,워너브러더스 코리아(주),2020,8,2228,6271.0,액션,12세이상관람가,8.73,7.25
걸,(주)리틀빅픽쳐스,2021,1,239,4853.0,드라마,15세이상관람가,,6.33
런,(주)올스타엔터테인먼트,2020,11,799,4754.0,미스터리,15세이상관람가,8.53,6.5
100% 울프: 푸들이 될 순 없어,(주)팝엔터테인먼트,2020,12,370,4732.0,애니메이션,전체관람가,8.52,6.0
모추어리 컬렉션,(주)이놀미디어,2021,1,115,3767.0,판타지,청소년관람불가,6.36,6.25
가을의 마티네,찬란,2020,12,19,3682.0,멜로/로맨스,12세이상관람가,8.9,5.33
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020,11,131,3623.0,애니메이션,전체관람가,9.53,6.5
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021,1,98,3541.0,드라마,전체관람가,9.23,6.0
운디네,M&M 인터내셔널,2020,12,42,3222.0,드라마,12세이상관람가,8.38,8.0
사일런싱,(주)홈초이스,2021,1,89,2873.0,공포(호러),15세이상관람가,,
큰엄마의 미친봉고,(주)백그림,2021,1,67,2802.0,코미디,12세이상관람가,6.04,6.0
더 시크릿,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",2021,1,72,2796.0,스릴러,15세이상관람가,6.67,6.55
래시 컴 홈,찬란,2021,1,13,2498.0,가족,전체관람가,7.66,6.0
관계의 가나다에 있는 우리는,(주)시네마달,2021,1,39,2380.0,드라마,전체관람가,8.38,5.5
미스터 보스,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",2020,12,226,2313.0,드라마,15세이상관람가,6.5,3.67
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020,1,120,2253.0,드라마,15세이상관람가,9.15,9.5
썸머 85,찬란,2020,12,126,2200.0,멜로/로맨스,15세이상관람가,8.59,7.25
제이티 르로이,(주)영화사 빅,2021,1,93,1977.0,드라마,15세이상관람가,8.17,5.67
라스트 프론티어,(주)까멜리아이엔티,2021,1,20,1840.0,전쟁,15세이상관람가,8.22,5.0
리플레이,(주)다자인소프트,2020,12,242,1586.0,드라마,12세이상관람가,,5.0
언플랜드,(주)영화사오원,2020,12,281,1430.0,드라마,15세이상관람가,9.62,3.5
"내 어깨 위 고양이, 밥 2",(주)영화특별시에스엠씨,2020,12,202,1347.0,가족,전체관람가,,
크루아상,하준사,2021,1,42,1221.0,드라마,12세이상관람가,9.8,3.5
라이어트: 기계들의 역습,(주)노바이앤티,2020,12,52,1205.0,SF,15세이상관람가,3.71,
럭키 몬스터,(주)영화사 그램,2020,12,101,1135.0,드라마,청소년관람불가,7.92,5.5
누군가 어디에서 나를 기다리면 좋겠다,(주)영화사 진진,2020,12,54,1091.0,드라마,15세이상관람가,7.57,5.0
800,"TCO(주)더콘텐츠온,(주)디스테이션",2020,12,223,1076.0,전쟁,15세이상관람가,3.37,5.0
족벌 두 신문 이야기,(주)엣나인필름,2021,1,10,1030.0,다큐멘터리,12세이상관람가,9.93,5.5
438일,(주)에스와이코마드,2021,1,40,1000.0,드라마,15세이상관람가,8.04,
마라가 큰 결정을 해야 해,(주)영화사오원,2021,1,79,856.0,멜로/로맨스,15세이상관람가,4.69,
천사는 바이러스,주식회사 씨엠닉스,2021,1,44,816.0,드라마,15세이상관람가,8.76,
요요현상,영화배급협동조합 씨네소파,2021,1,27,804.0,다큐멘터리,전체관람가,9.33,6.67
나의 작은 동무,(주)라이크콘텐츠,2021,1,40,777.0,드라마,12세이상관람가,8.83,6.33
부활: 그 증거,(주)영화사 진진,2020,10,111,619.0,다큐멘터리,전체관람가,9.82,4.0
함께 있을 수 있다면,(주)영화사 진진,2020,12,30,612.0,멜로/로맨스,12세이상관람가,8.92,5.67
추억의 검정고무신,(주)대교 미디어콘텐츠사업본부,2020,11,215,582.0,애니메이션,전체관람가,5.87,5.0
귀여운 남자,(주)드림팩트엔터테인먼트,2021,1,41,546.0,코미디,15세이상관람가,5.38,
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020,10,149,526.0,애니메이션,15세이상관람가,9.5,
스웨그,(주)영화사오원,2020,12,118,501.0,드라마,15세이상관람가,9.71,4.0
전쟁,(주)제이앤씨미디어그룹,2020,12,35,496.0,액션,15세이상관람가,,7.67
삼진그룹 영어토익반,롯데컬처웍스(주)롯데엔터테인먼트,2020,10,1615,484.0,드라마,12세이상관람가,9.01,7.0
골든맨,예지림엔터테인먼트,2021,1,25,441.0,범죄,15세이상관람가,6.29,
게임의 법칙: 인간사냥,(주)제이앤씨미디어그룹,2021,1,20,381.0,스릴러,청소년관람불가,3.61,
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,와이드 릴리즈(주),2020,11,187,370.0,애니메이션,전체관람가,9.0,7.0
레전더리 콘서트: 레너드 번스타인,(주)케빈앤컴퍼니,2021,1,12,366.0,공연,전체관람가,10.0,
뮤직 앤 리얼리티,"(주)미로스페이스,(주)스튜디오 보난자",2020,12,38,350.0,드라마,12세이상관람가,8.8,5.0
사라센의 칼,(주)콘텐츠윙,2021,1,14,348.0,드라마,15세이상관람가,9.07,3.0
토스카,일미디어,2020,12,4,325.0,공연,12세이상관람가,5.0,10.0
가나의 혼인잔치: 언약,"(재)CBS,주식회사 블루필름웍스",2020,11,116,323.0,다큐멘터리,전체관람가,9.54,4.0
