영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,총스크린수_med,평균평점
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018.0,875001.0,애니메이션,전체관람가,9.32,8.5,2018.0,8.91
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380.0,206309.0,애니메이션,15세이상관람가,7.452235294117647,6.0,380.0,6.726117647058824
원더 우먼 1984,워너브러더스 코리아(주),2020,12,2260.0,155562.0,액션,12세이상관람가,7.54,5.5,2260.0,6.52
세자매,(주)리틀빅픽쳐스,2021,1,569.0,42290.0,드라마,15세이상관람가,8.95,5.0,569.0,6.975
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,2021,1,532.0,38131.0,애니메이션,12세이상관람가,8.02,5.0,532.0,6.51
조제,워너브러더스 코리아(주),2020,12,1179.0,23337.0,멜로/로맨스,15세이상관람가,8.2,5.6,1179.0,6.9
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494.0,21913.0,드라마,15세이상관람가,9.43,6.0,494.0,7.715
도굴,(주)씨제이이엔엠,2020,11,1635.0,21729.0,범죄,12세이상관람가,0.0,5.0,1635.0,2.5
뱅가드,(주)디스테이션,2020,12,265.0,21166.0,액션,12세이상관람가,3.41,3.67,265.0,3.54
블라인드,주식회사 컨텐츠썬,2021,1,239.0,18297.0,드라마,15세이상관람가,9.35,5.67,239.0,7.51
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021,1,432.0,16290.0,멜로/로맨스,12세이상관람가,8.52,5.0,432.0,6.76
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021,1,308.0,14682.0,애니메이션,전체관람가,9.0,6.0,308.0,7.5
커넥트,(주)이수C&E,2021,1,386.0,14140.0,공포(호러),15세이상관람가,7.0442857142857145,5.0,386.0,6.022142857142857
미스터 존스,(주)디오시네마,2021,1,277.0,10727.0,드라마,15세이상관람가,7.315555555555556,5.5,277.0,6.407777777777778
나는 나를 해고하지 않는다,(주)영화사 진진,2021,1,313.0,9660.0,드라마,12세이상관람가,8.17,6.8,313.0,7.484999999999999
북스마트,(주)콘텐츠판다,2021,1,163.0,9435.0,코미디,15세이상관람가,8.49,6.5,163.0,7.495
완벽한 가족,(주)제이앤씨미디어그룹,2021,1,318.0,8659.0,드라마,15세이상관람가,7.26,6.0,318.0,6.63
나이팅게일,(주)제이앤씨미디어그룹,2020,12,329.0,8340.0,스릴러,청소년관람불가,8.71,6.0,329.0,7.355
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,2021,1,155.0,7991.0,다큐멘터리,15세이상관람가,8.15,6.165882352941176,155.0,7.1579411764705885
마이 미씽 발렌타인,(주)트리플픽쳐스,2021,1,153.0,7796.0,멜로/로맨스,12세이상관람가,8.63,6.0,153.0,7.315
파힘,(주)디스테이션,2021,1,165.0,6547.0,드라마,전체관람가,8.16,5.33,165.0,6.745
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020,11,1363.0,6518.0,드라마,12세이상관람가,8.31,5.0,1363.0,6.655
테넷,워너브러더스 코리아(주),2020,8,2228.0,6271.0,액션,12세이상관람가,8.73,7.25,2228.0,7.99
걸,(주)리틀빅픽쳐스,2021,1,239.0,4853.0,드라마,15세이상관람가,7.315555555555556,6.33,239.0,6.8227777777777785
런,(주)올스타엔터테인먼트,2020,11,799.0,4754.0,미스터리,15세이상관람가,8.53,6.5,799.0,7.515
100% 울프: 푸들이 될 순 없어,(주)팝엔터테인먼트,2020,12,370.0,4732.0,애니메이션,전체관람가,8.52,6.0,370.0,7.26
모추어리 컬렉션,(주)이놀미디어,2021,1,115.0,3767.0,판타지,청소년관람불가,6.36,6.25,115.0,6.305
가을의 마티네,찬란,2020,12,19.0,3682.0,멜로/로맨스,12세이상관람가,8.9,5.33,19.0,7.115
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020,11,131.0,3623.0,애니메이션,전체관람가,9.53,6.5,131.0,8.015
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021,1,98.0,3541.0,드라마,전체관람가,9.23,6.0,98.0,7.615
