NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,신비한 동물들과 덤블도어의 비밀,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-04-,개봉영화,장편,미국,,,,,,어드벤처,12세이상관람가,일반영화
2,모비우스,다니엘 에스피노사,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-03-,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
3,수퍼 소닉2,제프 파울러,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-04-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
4,니 부모 얼굴이 보고 싶다,김지훈,"(주)더타워픽쳐스,이십세기폭스 인터내셔널 프로덕션,(주)리버픽쳐스",,(주)마인드마크,2022-04-,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
5,앵커,정지연,"(주)인사이트필름,(주)어바웃잇,(주)디씨지플러스",,(주)에이스메이커무비웍스,2022-04-,개봉영화,장편,한국,,,,,,스릴러,15세이상관람가,일반영화
6,공기살인,조용선,"(주)마스터원엔터테인먼트,TCO(주)더콘텐츠온",,"TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",2022-04-,개봉영화,장편,한국,756,,,,,드라마,12세이상관람가,일반영화
7,앰뷸런스,마이클 베이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-04-,개봉영화,장편,미국,,,,,,액션,15세이상관람가,일반영화
8,뜨거운 피,천명관,주식회사 고래픽처스,,"(주)스튜디오디에이치엘,(주)키다리스튜디오",2022-03-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
9,로스트 시티,,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-04-,개봉영화,장편,미국,835,,,,,액션,12세이상관람가,일반영화
10,스텔라,권수경,(주)데이드림엔터테인먼트,,씨제이 씨지브이(CJ CGV)(주),2022-04-,개봉영화,장편,한국,690,,,,,코미디,15세이상관람가,일반영화
11,극장판 주술회전 0,박성후,,대원미디어(주),(주)대교 미디어콘텐츠사업본부,2022-02-,개봉영화,장편,일본,836,,,,,애니메이션,15세이상관람가,일반영화
12,서울괴담,홍원기,"쟈니브로스(주),메가박스중앙(주)플러스엠",,메가박스중앙(주)플러스엠,2022-04-,개봉영화,장편,한국,474,,,,,공포(호러),15세이상관람가,일반영화
13,이상한 나라의 수학자,박동훈,(주)조이래빗,,(주)쇼박스,2022-03-,개봉영화,장편,한국,,,,,,드라마,12세이상관람가,일반영화
14,루이스 웨인: 사랑을 그린 고양이 화가,,,(주)퍼스트런,(주)씨제이이엔엠,2022-04-,개봉영화,장편,미국,530,,,,,드라마,12세이상관람가,일반영화
