영화제목,유통회사명,개봉년도,개봉월,총스크린수,관람객수,장르,등급,네이버_평점,씨네21_평점,평균평점,계절,장르2,등급_le,관람객수_le,계절_le,관객수_등급
소울,월트디즈니컴퍼니코리아 유한책임회사,2021,1,2018.0,875001.0,애니메이션,전체관람가,9.32,8.5,8.91,4,0,2,2073,3,5
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021,1,380.0,206309.0,애니메이션,15세이상관람가,8.392941176470588,6.0,7.196470588235294,4,0,1,1981,3,5
원더 우먼 1984,워너브러더스 코리아(주),2020,12,2260.0,155562.0,액션,12세이상관람가,7.54,5.5,6.52,4,1,0,1960,3,5
세자매,(주)리틀빅픽쳐스,2021,1,569.0,42290.0,드라마,15세이상관람가,8.95,5.0,6.975,4,2,1,1835,3,5
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,2021,1,532.0,38131.0,애니메이션,12세이상관람가,8.02,5.0,6.51,4,0,0,1814,3,5
조제,워너브러더스 코리아(주),2020,12,1179.0,23337.0,멜로/로맨스,15세이상관람가,8.2,5.6,6.9,4,3,1,1749,3,5
아이 엠 우먼,(주)팝엔터테인먼트,2021,1,494.0,21913.0,드라마,15세이상관람가,9.43,6.0,7.715,4,2,1,1739,3,5
도굴,(주)씨제이이엔엠,2020,11,1635.0,21729.0,범죄,12세이상관람가,0.0,5.0,2.5,3,4,0,1736,2,5
뱅가드,(주)디스테이션,2020,12,265.0,21166.0,액션,12세이상관람가,3.41,3.67,3.54,4,1,0,1727,3,5
블라인드,주식회사 컨텐츠썬,2021,1,239.0,18297.0,드라마,15세이상관람가,9.35,5.67,7.51,4,2,1,1703,3,5
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),2021,1,432.0,16290.0,멜로/로맨스,12세이상관람가,8.52,5.0,6.76,4,3,0,1675,3,5
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021,1,308.0,14682.0,애니메이션,전체관람가,9.0,6.0,7.5,4,0,2,1650,3,4
커넥트,(주)이수C&E,2021,1,386.0,14140.0,공포(호러),15세이상관람가,5.848333333333333,5.0,5.424166666666666,4,5,1,1643,3,4
미스터 존스,(주)디오시네마,2021,1,277.0,10727.0,드라마,15세이상관람가,7.819929577464789,5.5,6.6599647887323945,4,2,1,1585,3,4
나는 나를 해고하지 않는다,(주)영화사 진진,2021,1,313.0,9660.0,드라마,12세이상관람가,8.17,6.8,7.484999999999999,4,2,0,1554,3,4
북스마트,(주)콘텐츠판다,2021,1,163.0,9435.0,코미디,15세이상관람가,8.49,6.5,7.495,4,6,1,1550,3,4
완벽한 가족,(주)제이앤씨미디어그룹,2021,1,318.0,8659.0,드라마,15세이상관람가,7.26,6.0,6.63,4,2,1,1533,3,4
나이팅게일,(주)제이앤씨미디어그룹,2020,12,329.0,8340.0,스릴러,청소년관람불가,8.71,6.0,7.355,4,7,3,1520,3,4
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,2021,1,155.0,7991.0,다큐멘터리,15세이상관람가,8.15,6.104411764705882,7.127205882352941,4,8,1,1508,3,4
마이 미씽 발렌타인,(주)트리플픽쳐스,2021,1,153.0,7796.0,멜로/로맨스,12세이상관람가,8.63,6.0,7.315,4,3,0,1497,3,4
파힘,(주)디스테이션,2021,1,165.0,6547.0,드라마,전체관람가,8.16,5.33,6.745,4,2,2,1447,3,4
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",2020,11,1363.0,6518.0,드라마,12세이상관람가,8.31,5.0,6.655,3,2,0,1446,2,4
테넷,워너브러더스 코리아(주),2020,8,2228.0,6271.0,액션,12세이상관람가,8.73,7.25,7.99,2,1,0,1434,1,4
걸,(주)리틀빅픽쳐스,2021,1,239.0,4853.0,드라마,15세이상관람가,7.819929577464789,6.33,7.0749647887323945,4,2,1,1372,3,4
런,(주)올스타엔터테인먼트,2020,11,799.0,4754.0,미스터리,15세이상관람가,8.53,6.5,7.515,3,9,1,1363,2,4
100% 울프: 푸들이 될 순 없어,(주)팝엔터테인먼트,2020,12,370.0,4732.0,애니메이션,전체관람가,8.52,6.0,7.26,4,0,2,1361,3,4
모추어리 컬렉션,(주)이놀미디어,2021,1,115.0,3767.0,판타지,청소년관람불가,6.36,6.25,6.305,4,10,3,1279,3,4
가을의 마티네,찬란,2020,12,19.0,3682.0,멜로/로맨스,12세이상관람가,8.9,5.33,7.115,4,3,0,1270,3,4
