영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
소울,월트디즈니컴퍼니코리아 유한책임회사,20210120,2018,875001,애니메이션,전체관람가,9.32,4.7,8.5,2021,01
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),20210127,380,206309,애니메이션,15세이상관람가,,4.9,6.0,2021,01
원더 우먼 1984,워너브러더스 코리아(주),20201223,2260,155562,액션,12세이상관람가,7.54,2.6,5.5,2020,12
세자매,(주)리틀빅픽쳐스,20210127,569,42290,드라마,15세이상관람가,8.95,,5.0,2021,01
명탐정 코난: 진홍의 수학여행,(주)씨제이이엔엠,20210127,532,38131,애니메이션,12세이상관람가,8.02,,5.0,2021,01
조제,워너브러더스 코리아(주),20201210,1179,23337,멜로/로맨스,15세이상관람가,8.2,,5.6,2020,12
아이 엠 우먼,(주)팝엔터테인먼트,20210114,494,21913,드라마,15세이상관람가,9.43,4.4,6.0,2021,01
도굴,(주)씨제이이엔엠,20201104,1635,21729,범죄,12세이상관람가,0.0,4.7,5.0,2020,11
뱅가드,(주)디스테이션,20201230,265,21166,액션,12세이상관람가,3.41,3.8,3.67,2020,12
블라인드,주식회사 컨텐츠썬,20210114,239,18297,드라마,15세이상관람가,9.35,4.5,5.67,2021,01
#아이엠히어,(주)넥스트엔터테인먼트월드(NEW),20210114,432,16290,멜로/로맨스,12세이상관람가,8.52,,5.0,2021,01
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,20210106,308,14682,애니메이션,전체관람가,9.0,3.3,6.0,2021,01
커넥트,(주)이수C&E,20210120,386,14140,공포(호러),15세이상관람가,,4.0,5.0,2021,01
미스터 존스,(주)디오시네마,20210107,277,10727,드라마,15세이상관람가,,4.5,5.5,2021,01
나는 나를 해고하지 않는다,(주)영화사 진진,20210128,313,9660,드라마,12세이상관람가,8.17,,6.8,2021,01
북스마트,(주)콘텐츠판다,20210127,163,9435,코미디,15세이상관람가,8.49,4.0,6.5,2021,01
완벽한 가족,(주)제이앤씨미디어그룹,20210106,318,8659,드라마,15세이상관람가,7.26,,6.0,2021,01
나이팅게일,(주)제이앤씨미디어그룹,20201230,329,8340,스릴러,청소년관람불가,8.71,4.3,6.0,2020,12
토이 솔져스: 가짜사나이2 더 컴플리트,씨제이포디플렉스 주식회사,20210127,155,7991,다큐멘터리,15세이상관람가,8.15,,,2021,01
마이 미씽 발렌타인,(주)트리플픽쳐스,20210114,153,7796,멜로/로맨스,12세이상관람가,8.63,,6.0,2021,01
파힘,(주)디스테이션,20210121,165,6547,드라마,전체관람가,8.16,,5.33,2021,01
이웃사촌,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스",20201125,1363,6518,드라마,12세이상관람가,8.31,,5.0,2020,11
테넷,워너브러더스 코리아(주),20200826,2228,6271,액션,12세이상관람가,8.73,,7.25,2020,08
걸,(주)리틀빅픽쳐스,20210107,239,4853,드라마,15세이상관람가,,4.3,6.33,2021,01
런,(주)올스타엔터테인먼트,20201120,799,4754,미스터리,15세이상관람가,8.53,4.1,6.5,2020,11
100% 울프: 푸들이 될 순 없어,(주)팝엔터테인먼트,20201224,370,4732,애니메이션,전체관람가,8.52,3.9,6.0,2020,12
모추어리 컬렉션,(주)이놀미디어,20210121,115,3767,판타지,청소년관람불가,6.36,4.1,6.25,2021,01
가을의 마티네,찬란,20201231,19,3682,멜로/로맨스,12세이상관람가,8.9,,5.33,2020,12
극장판 바이올렛 에버가든,(주)라이크콘텐츠,20201112,131,3623,애니메이션,전체관람가,9.53,4.9,6.5,2020,11
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,20210114,98,3541,드라마,전체관람가,9.23,,6.0,2021,01
운디네,M&M 인터내셔널,20201224,42,3222,드라마,12세이상관람가,8.38,4.1,8.0,2020,12
사일런싱,(주)홈초이스,20210128,89,2873,공포(호러),15세이상관람가,,3.6,,2021,01
큰엄마의 미친봉고,(주)백그림,20210121,67,2802,코미디,12세이상관람가,6.04,,6.0,2021,01
더 시크릿,"TCO(주)더콘텐츠온,(주)스튜디오디에이치엘",20210121,72,2796,스릴러,15세이상관람가,6.67,3.4,6.55,2021,01
래시 컴 홈,찬란,20210107,13,2498,가족,전체관람가,7.66,,6.0,2021,01
관계의 가나다에 있는 우리는,(주)시네마달,20210128,39,2380,드라마,전체관람가,8.38,,5.5,2021,01
미스터 보스,"(주)스톰픽쳐스코리아,와이드 릴리즈(주)",20201230,226,2313,드라마,15세이상관람가,6.5,,3.67,2020,12
